time,interesse,nome
2016-08-30T14:20:00-03:00,16,Fátima Bernardes
2016-08-30T14:28:00-03:00,14,Fátima Bernardes
2016-08-30T14:36:00-03:00,14,Fátima Bernardes
2016-08-30T14:44:00-03:00,14,Fátima Bernardes
2016-08-30T14:52:00-03:00,13,Fátima Bernardes
2016-08-30T15:00:00-03:00,13,Fátima Bernardes
2016-08-30T15:08:00-03:00,11,Fátima Bernardes
2016-08-30T15:16:00-03:00,13,Fátima Bernardes
2016-08-30T15:24:00-03:00,12,Fátima Bernardes
2016-08-30T15:32:00-03:00,12,Fátima Bernardes
2016-08-30T15:40:00-03:00,12,Fátima Bernardes
2016-08-30T15:48:00-03:00,12,Fátima Bernardes
2016-08-30T15:56:00-03:00,12,Fátima Bernardes
2016-08-30T16:04:00-03:00,12,Fátima Bernardes
2016-08-30T16:12:00-03:00,12,Fátima Bernardes
2016-08-30T16:20:00-03:00,12,Fátima Bernardes
2016-08-30T16:28:00-03:00,12,Fátima Bernardes
2016-08-30T16:36:00-03:00,12,Fátima Bernardes
2016-08-30T16:44:00-03:00,12,Fátima Bernardes
2016-08-30T16:52:00-03:00,12,Fátima Bernardes
2016-08-30T17:00:00-03:00,12,Fátima Bernardes
2016-08-30T17:08:00-03:00,12,Fátima Bernardes
2016-08-30T17:16:00-03:00,11,Fátima Bernardes
2016-08-30T17:24:00-03:00,11,Fátima Bernardes
2016-08-30T17:32:00-03:00,12,Fátima Bernardes
2016-08-30T17:40:00-03:00,12,Fátima Bernardes
2016-08-30T17:48:00-03:00,12,Fátima Bernardes
2016-08-30T17:56:00-03:00,12,Fátima Bernardes
2016-08-30T18:04:00-03:00,12,Fátima Bernardes
2016-08-30T18:12:00-03:00,12,Fátima Bernardes
2016-08-30T18:20:00-03:00,13,Fátima Bernardes
2016-08-30T18:28:00-03:00,14,Fátima Bernardes
2016-08-30T18:36:00-03:00,15,Fátima Bernardes
2016-08-30T18:44:00-03:00,19,Fátima Bernardes
2016-08-30T18:52:00-03:00,16,Fátima Bernardes
2016-08-30T19:00:00-03:00,16,Fátima Bernardes
2016-08-30T19:08:00-03:00,16,Fátima Bernardes
2016-08-30T19:16:00-03:00,16,Fátima Bernardes
2016-08-30T19:24:00-03:00,16,Fátima Bernardes
2016-08-30T19:32:00-03:00,16,Fátima Bernardes
2016-08-30T19:40:00-03:00,18,Fátima Bernardes
2016-08-30T19:48:00-03:00,16,Fátima Bernardes
2016-08-30T19:56:00-03:00,24,Fátima Bernardes
2016-08-30T20:04:00-03:00,19,Fátima Bernardes
2016-08-30T20:12:00-03:00,19,Fátima Bernardes
2016-08-30T20:20:00-03:00,19,Fátima Bernardes
2016-08-30T20:28:00-03:00,24,Fátima Bernardes
2016-08-30T20:36:00-03:00,26,Fátima Bernardes
2016-08-30T20:44:00-03:00,23,Fátima Bernardes
2016-08-30T20:52:00-03:00,26,Fátima Bernardes
2016-08-30T21:00:00-03:00,28,Fátima Bernardes
2016-08-30T21:08:00-03:00,24,Fátima Bernardes
2016-08-30T21:16:00-03:00,32,Fátima Bernardes
2016-08-30T21:24:00-03:00,40,Fátima Bernardes
2016-08-30T21:32:00-03:00,20,Fátima Bernardes
2016-08-29T21:40:00-03:00,20,William Bonner
2016-08-29T21:48:00-03:00,44,William Bonner
2016-08-29T21:56:00-03:00,60,William Bonner
2016-08-29T22:04:00-03:00,71,William Bonner
2016-08-29T22:12:00-03:00,68,William Bonner
2016-08-29T22:20:00-03:00,68,William Bonner
2016-08-29T22:28:00-03:00,62,William Bonner
2016-08-29T22:36:00-03:00,54,William Bonner
2016-08-29T22:44:00-03:00,48,William Bonner
2016-08-29T22:52:00-03:00,46,William Bonner
