id,value
José_Reinaldo_(PSB_-_MA).sim.sim,1
José_Rocha_(PR_-_BA).não.sim,1
Jose_Stédile_(PSB_-_RS).sim.sim,1
Josi_Nunes_(PMDB_-_TO).sim.sim,1
Josué_Bengtson_(PTB_-_PA).sim.ausente,1
Jovair_Arantes_(PTB_-_GO).sim.ausente,1
Jozi_Araújo_(PTN_-_AP).não.não,1
Júlia_Marinho_(PSC_-_PA).sim.não,1
Júlio_Cesar_(PSD_-_PI).sim.sim,1
Júlio_Delgado_(PSB_-_MG).sim.sim,1
Julio_Lopes_(PP_-_RJ).sim.sim,1
Junior_Marreca_(PEN_-_MA).não.ausente,1
Juscelino_Filho_(DEM_-_MA).sim.sim,1
Jutahy_Junior_(PSDB_-_BA).sim.sim,1
Kaio_Maniçoba_(PMDB_-_PE).sim.sim,1
Keiko_Ota_(PSB_-_SP).sim.sim,1
Laercio_Oliveira_(SD_-_SE).sim.sim,1
Laerte_Bessa_(PR_-_DF).sim.abstenção,1
Laudivio_Carvalho_(SD_-_MG).sim.sim,1
Lázaro_Botelho_(PP_-_TO).sim.sim,1
Leandre_(PV_-_PR).sim.sim,1
Lelo_Coimbra_(PMDB_-_ES).sim.sim,1
Leo_De_Brito_(PT_-_AC).não.sim,1
Leonardo_Monteiro_(PT_-_MG).não.sim,1
Leonardo_Picciani_(PMDB_-_RJ).não.não_está_em_exercício,1
Leonardo_Quintão_(PMDB_-_MG).sim.ausente,1
Leônidas_Cristino_(PDT_-_CE).não.sim,1
Leopoldo_Meyer_(PSB_-_PR).sim.sim,1
Lincoln_Portela_(PRB_-_MG).sim.sim,1
Lindomar_Garçon_(PRB_-_RO).sim.ausente,1
Lucas_Vergilio_(SD_-_GO).sim.sim,1
Luciana_Santos_(PCdoB_-_PE).não.sim,1
Luciano_Ducci_(PSB_-_PR).sim.sim,1
Lucio_Mosquini_(PMDB_-_RO).sim.sim,1
Lúcio_Vale_(PR_-_PA).não.sim,1
Lucio_Vieira_Lima_(PMDB_-_BA).sim.sim,1
Luis_Carlos_Heinze_(PP_-_RS).sim.sim,1
Luis_Tibé_(PTdoB_-_MG).sim.sim,1
