data,headlines,categoria,datadois
04/08/2016,4,Repercussões,08/04/2016
05/08/2016,8,Repercussões,08/05/2016
06/08/2016,2,Repercussões,08/06/2016
08/08/2016,2,Repercussões,08/08/2016
09/08/2016,5,Repercussões,08/09/2016
10/08/2016,4,Repercussões,08/10/2016
11/08/2016,1,Repercussões,08/11/2016
12/08/2016,2,Repercussões,08/12/2016
14/08/2016,1,Repercussões,08/14/2016
15/08/2016,2,Repercussões,08/15/2016
16/08/2016,7,Repercussões,08/16/2016
17/08/2016,1,Repercussões,08/17/2016
18/08/2016,3,Repercussões,08/18/2016
19/08/2016,1,Repercussões,08/19/2016
21/08/2016,1,Repercussões,08/21/2016
22/08/2016,0,Repercussões,08/22/2016
