id,cargo,bruto,liquido
227,Analista Judiciário,25101.4,17838.17
712,Analista Judiciário,28776.26,18093.26
399,Analista Judiciário,25320.11,18186.22
198,Analista Judiciário,30429.93,18500.24
29,Analista Judiciário,25605.03,18645.68
759,Analista Judiciário,28783.23,18770.79
312,Analista Judiciário,25938.91,19206.47
10,Analista Judiciário,31710.11,19274.47
124,Analista Judiciário,29506.37,19303.9
1055,Analista Judiciário,28355.72,19595.41
986,Analista Judiciário,29107.4,19604.71
142,Analista Judiciário,31068.13,22056.08
780,Analista Judiciário,31565.29,22499.5
1044,Analista Judiciário,31417.33,23123.66
980,Não Especificado,685.02,2.05
915,Não Especificado,9295.01,666.91
18,Não Especificado,884,884
1071,Não Especificado,2263.07,933.16
692,Não Especificado,1379.07,938.4
1075,Não Especificado,1379.07,999.83
129,Não Especificado,2069.05,1108.28
535,Não Especificado,1379.07,1131.29
984,Não Especificado,1939.89,1367.68
433,Não Especificado,1379.07,1379.07
673,Não Especificado,1379.07,1379.07
1043,Não Especificado,1379.07,1379.07
28,Não Especificado,2263.07,1702.75
843,Não Especificado,1880.79,1731.22
934,Não Especificado,2538.07,1844.99
183,Não Especificado,9295.01,1971.02
416,Não Especificado,2069.05,2069.05
745,Não Especificado,3072.36,2099.9
804,Não Especificado,2263.07,2235.49
825,Não Especificado,3956.36,2630.31
1113,Não Especificado,8411.01,2814.69
90,Não Especificado,3309.93,2818.69
519,Não Especificado,3956.36,2825.12
3,Não Especificado,5484.65,3313.5
939,Não Especificado,4205.51,3895.4
537,Não Especificado,5507.86,3930.3
1142,Não Especificado,5990.88,4343.39
652,Não Especificado,5349.25,4747.57
922,Não Especificado,5990.88,5099.53
1047,Não Especificado,8411.01,5162.01
366,Não Especificado,8411.01,5208.82
182,Não Especificado,5990.88,5212.75
281,Não Especificado,9295.01,5790.67
344,Não Especificado,12266.88,5924.8
755,Não Especificado,6093.47,6093.47
860,Não Especificado,8411.01,6326.91
118,Não Especificado,7745.56,6484.89
728,Não Especificado,9295.01,6694.53
799,Não Especificado,9295.01,6893.86
105,Não Especificado,8411.01,6967.34
264,Não Especificado,8411.01,6967.34
378,Não Especificado,8411.01,6967.34
385,Não Especificado,8411.01,6967.34
758,Não Especificado,8411.01,6967.34
885,Não Especificado,8411.01,6967.34
894,Não Especificado,8411.01,6967.34
1021,Não Especificado,8411.01,6967.34
438,Não Especificado,8635.22,7129.89
921,Não Especificado,9083.75,7220.84
1188,Não Especificado,9295.01,7373.2
82,Não Especificado,10314.25,7374.27
273,Não Especificado,9295.01,7617.1
923,Não Especificado,9295.01,7629.41
61,Não Especificado,9295.01,7680.95
164,Não Especificado,11214.68,7695.89
50,Não Especificado,9295.01,7706.23
415,Não Especificado,9295.01,7734.22
600,Não Especificado,10100.74,7734.23
734,Não Especificado,9295.01,7734.63
367,Não Especificado,10100.74,7758
611,Não Especificado,12266.88,7788.54
34,Não Especificado,9295.01,7851.34
68,Não Especificado,9295.01,7851.34
268,Não Especificado,9295.01,7851.34
278,Não Especificado,9295.01,7851.34
279,Não Especificado,9295.01,7851.34
544,Não Especificado,9295.01,7851.34
937,Não Especificado,9295.01,7851.34
1105,Não Especificado,9295.01,7851.34
1172,Não Especificado,9295.01,7851.34
