headline,link,categoria,subcategoria,dia,mês,ano,data,datadois
Em clima tenso senadores discutem relatório de Anastasia,http://agenciabrasil.ebc.com.br/politica/noticia/2016-08/comissao-do-impeachment-discute-relatorio-de-anastasia-e-inicio-do,Repercussões,Impeachment,3,8,2016,03/08/2016,08/03/2016
PSOL cria pódio da cumplicidade com nomes de aliados de Cunha,http://agenciabrasil.ebc.com.br/politica/noticia/2016-08/partido-que-deu-inicio-processo-contra-cunha-cria-podio-da-cumplicidade,Repercussões,Congresso & Base Aliada,3,8,2016,03/08/2016,08/03/2016
Presidente de Portugal visita o Brasil e destaca laços entre os dois ...,http://agenciabrasil.ebc.com.br/rio-2016/noticia/2016-08/presidente-de-portugal-visita-o-brasil-e-destaca-lacos-entre-os-dois-paises,Repercussões,Temer,4,8,2016,04/08/2016,08/04/2016
MST promete novas invasões se Congresso aprovar venda de ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-08/mst-promete-novas-invasoes-se-congresso-aprovar-venda-de-terras,Repercussões,Novas Políticas,4,8,2016,04/08/2016,08/04/2016
Movimentos sociais marcam protestos no Rio na abertura da ...,http://agenciabrasil.ebc.com.br/rio-2016/noticia/2016-08/movimentos-sociais-marcam-protestos-no-rio-na-abertura-da-olimpiada,Repercussões,Protestos,4,8,2016,04/08/2016,08/04/2016
Comissão aprova relatório favorável ao impeachment de Dilma ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-08/comissao-aprova-relatorio-favoravel-ao-impeachment-de-dilma-rousseff,Repercussões,Impeachment,4,8,2016,04/08/2016,08/04/2016
Chefes de Estado de 37 países participam de recepção antes do ...,http://agenciabrasil.ebc.com.br/rio-2016/noticia/2016-08/chefes-de-estado-de-37-paises-participam-de-recepcao-antes-do-inicio-dos,Repercussões,Temer,5,8,2016,05/08/2016,08/05/2016
Protesto em Copacabana desvia trajeto da tocha olímpica,http://agenciabrasil.ebc.com.br/rio-2016/noticia/2016-08/protesto-em-copacabana-desvia-trajeto-da-tocha-olimpica,Repercussões,Protestos,5,8,2016,05/08/2016,08/05/2016
Mercosul: Macri Cartes e Temer vão analisar situação venezuelana ...,http://agenciabrasil.ebc.com.br/internacional/noticia/2016-08/mercosul-macri-cartes-e-temer-vao-conversar-situacao-venezuelana-apos,Repercussões,Temer,5,8,2016,05/08/2016,08/05/2016
TSE pede a Temer permanência de militares no Rio após Olimpíada,http://agenciabrasil.ebc.com.br/politica/noticia/2016-08/tse-pede-temer-permanencia-de-militares-no-rio-apos-olimpiada,Repercussões,Outros,5,8,2016,05/08/2016,08/05/2016
Brasil fecha desfile dos atletas na abertura da Rio 2016,http://agenciabrasil.ebc.com.br/rio-2016/noticia/2016-08/brasil-fecha-desfile-na-abertura-da-rio-2016,Repercussões,Temer,5,8,2016,05/08/2016,08/05/2016
Manifestantes contrários à Olimpíada se aproximam do Maracanã,http://agenciabrasil.ebc.com.br/rio-2016/noticia/2016-08/manifestantes-contrarios-olimpiada-se-aproximam-do-maracana,Repercussões,Protestos,5,8,2016,05/08/2016,08/05/2016
Ban Ki-moon e Thomas Bach recebem tocha olímpica em Ipanema,http://agenciabrasil.ebc.com.br/rio-2016/noticia/2016-08/ban-ki-moon-e-thomas-bach-recebem-tocha-olimpica-em-ipanema,Repercussões,Protestos,5,8,2016,05/08/2016,08/05/2016
Abertura da Rio 2016 exalta diversidade mistura ritmos e tem voo ...,http://agenciabrasil.ebc.com.br/rio-2016/noticia/2016-08/abertura-da-rio-2016-exalta-diversidade-mistura-ritmos-e-tem-voo-do-14-bis,Repercussões,Temer,5,8,2016,05/08/2016,08/05/2016
Vaias a Temer foram isoladas e não prejudicam imagem do Brasil ...,http://agenciabrasil.ebc.com.br/rio-2016/noticia/2016-08/vaias-temer-foram-isoladas-e-nao-prejudicam-imagem-do-brasil-diz-ministro,Repercussões,Protestos,6,8,2016,06/08/2016,08/06/2016
Governo avalia como positivo o início dos Jogos Rio 2016,http://agenciabrasil.ebc.com.br/rio-2016/noticia/2016-08/governo-avalia-como-positivo-o-inicio-dos-jogos-rio-2016,Repercussões,Ministros & Cargos,6,8,2016,06/08/2016,08/06/2016
Maia diz que Câmara vota amanhã projeto de renegociação de ...,http://agenciabrasil.ebc.com.br/politica/noticia/2016-08/maia-diz-que-camara-vota-amanha-projeto-de-renegociacao-de-dividas-dos,Repercussões,Políticas Existentes,8,8,2016,08/08/2016,08/08/2016
