value,key,date
796500,BNDES FINAME,1/1/2014
967500,BNDES FINAME,1/1/2014
886500,BNDES FINAME,1/1/2014
967500,BNDES FINAME,1/1/2014
347400,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
347400,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
163620,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
109080,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
347400,BNDES FINAME,1/1/2014
967500,BNDES FINAME,1/1/2014
354600,BNDES FINAME,1/1/2014
3120000,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
477900,BNDES FINAME,1/1/2014
387000,BNDES FINAME,1/1/2014
886500,BNDES FINAME,1/1/2014
354600,BNDES FINAME,1/1/2014
967500,BNDES FINAME,1/1/2014
347400,BNDES FINAME,1/1/2014
562500,BNDES FINAME,1/1/2014
562500,BNDES FINAME,1/1/2014
562500,BNDES FINAME,1/1/2014
562500,BNDES FINAME,1/1/2014
967500,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
109800,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
120240,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
967500,BNDES FINAME,1/1/2014
967500,BNDES FINAME,1/1/2014
886500,BNDES FINAME,1/1/2014
967500,BNDES FINAME,1/1/2014
318600,BNDES FINAME,1/1/2014
796500,BNDES FINAME,1/1/2014
356400,BNDES FINAME,1/1/2014
886500,BNDES FINAME,1/1/2014
967500,BNDES FINAME,1/1/2014
159300,BNDES FINAME,1/1/2014
177300,BNDES FINAME,1/1/2014
796500,BNDES FINAME,1/1/2014
1386000,BNDES FINAME,1/1/2014
796500,BNDES FINAME,1/1/2014
886500,BNDES FINAME,1/1/2014
387000,BNDES FINAME,1/1/2014
477900,BNDES FINAME,1/1/2014
796500,BNDES FINAME,1/1/2014
193500,BNDES FINAME,1/1/2014
886500,BNDES FINAME,1/1/2014
177300,BNDES FINAME,1/1/2014
354600,BNDES FINAME,1/1/2014
967500,BNDES FINAME,1/1/2014
318600,BNDES FINAME,1/1/2014
967500,BNDES FINAME,1/1/2014
262800,BNDES FINAME,1/1/2014
114120,BNDES FINAME,1/1/2014
63389.55,BNDES FINAME,1/1/2014
82894.03,BNDES FINAME,1/1/2014
82894.03,BNDES FINAME,1/1/2014
82894.03,BNDES FINAME,1/1/2014
123755.91,BNDES FINAME,1/1/2014
85819.69,BNDES FINAME,1/1/2014
82894.03,BNDES FINAME,1/1/2014
73141.79,BNDES FINAME,1/1/2014
831600,BNDES FINAME,1/1/2014
1232000,BNDES FINAME,1/1/2014
967500,BNDES FINAME,1/1/2014
886500,BNDES FINAME,1/1/2014
354600,BNDES FINAME,1/1/2014
796500,BNDES FINAME,1/1/2014
318600,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
562500,BNDES FINAME,1/1/2014
347400,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
272700,BNDES FINAME,1/1/2014
109080,BNDES FINAME,1/1/2014
1232000,BNDES FINAME,1/1/2014
62400,BNDES FINAME,1/1/2014
189192,BNDES FINAME,1/1/2014
62400,BNDES FINAME,1/1/2014
129642.85,BNDES FINAME,1/1/2014
60951.49,BNDES FINAME,1/1/2014
65806.71,BNDES FINAME,1/1/2014
146283.56,BNDES FINAME,1/1/2014
65806.71,BNDES FINAME,1/1/2014
121902.98,BNDES FINAME,1/1/2014
416000,BNDES FINAME,1/1/2014
352000,BNDES FINAME,1/1/2014
62400,BNDES FINAME,1/1/2014
918400,BNDES FINAME,1/1/2014
81900,BNDES FINAME,1/1/2014
214160,BNDES FINAME,1/1/2014
97600,BNDES FINAME,1/1/2014
1333280,BNDES FINAME,1/1/2014
242400,BNDES FINAME,1/1/2014
242400,BNDES FINAME,1/1/2014
145440,BNDES FINAME,1/1/2014
242400,BNDES FINAME,1/1/2014
242400,BNDES FINAME,1/1/2014
225800,BNDES FINAME,1/1/2014
242400,BNDES FINAME,1/1/2014
242400,BNDES FINAME,1/1/2014
180640,BNDES FINAME,1/1/2014
242400,BNDES FINAME,1/1/2014
225800,BNDES FINAME,1/1/2014
242400,BNDES FINAME,1/1/2014
242400,BNDES FINAME,1/1/2014
242400,BNDES FINAME,1/1/2014
242400,BNDES FINAME,1/1/2014
242400,BNDES FINAME,1/1/2014
242400,BNDES FINAME,1/1/2014
225800,BNDES FINAME,1/1/2014
102400,BNDES FINAME,1/1/2014
62400,BNDES FINAME,1/1/2014
80000,BNDES FINAME,1/1/2014
112208,BNDES FINAME,1/1/2014
788000,BNDES FINAME,1/1/2014
788000,BNDES FINAME,1/1/2014
788000,BNDES FINAME,1/1/2014
860000,BNDES FINAME,1/1/2014
788000,BNDES FINAME,1/1/2014
860000,BNDES FINAME,1/1/2014
788000,BNDES FINAME,1/1/2014
788000,BNDES FINAME,1/1/2014
788000,BNDES FINAME,1/1/2014
788000,BNDES FINAME,1/1/2014
860000,BNDES FINAME,1/1/2014
860000,BNDES FINAME,1/1/2014
860000,BNDES FINAME,1/1/2014
788000,BNDES FINAME,1/1/2014
788000,BNDES FINAME,1/1/2014
860000,BNDES FINAME,1/1/2014
860000,BNDES FINAME,1/1/2014
860000,BNDES FINAME,1/1/2014
788000,BNDES FINAME,1/1/2014
860000,BNDES FINAME,1/1/2014
860000,BNDES FINAME,1/1/2014
860000,BNDES FINAME,1/1/2014
860000,BNDES FINAME,1/1/2014
788000,BNDES FINAME,1/1/2014
860000,BNDES FINAME,1/1/2014
788000,BNDES FINAME,1/1/2014
788000,BNDES FINAME,1/1/2014
860000,BNDES FINAME,1/1/2014
500000,BNDES FINAME,1/1/2014
500000,BNDES FINAME,1/1/2014
500000,BNDES FINAME,1/1/2014
500000,BNDES FINAME,1/1/2014
500000,BNDES FINAME,1/1/2014
500000,BNDES FINAME,1/1/2014
500000,BNDES FINAME,1/1/2014
500000,BNDES FINAME,1/1/2014
500000,BNDES FINAME,1/1/2014
500000,BNDES FINAME,1/1/2014
78400,BNDES FINAME,1/1/2014
236584,BNDES FINAME,1/1/2014
23013.6,BNDES FINAME,1/1/2014
104012.8,BNDES FINAME,1/1/2014
532708,BNDES FINAME,1/1/2014
15063.2,BNDES FINAME,1/1/2014
23832,BNDES FINAME,1/1/2014
307376.81,BNDES FINAME,1/1/2014
13970.4,BNDES FINAME,1/1/2014
10820.8,BNDES FINAME,1/1/2014
247962.41,BNDES FINAME,1/1/2014
272037.59,BNDES FINAME,1/1/2014
556875,BNDES FINAME,1/1/2014
556875,BNDES FINAME,1/1/2014
253575,BNDES FINAME,1/1/2014
360000,BNDES FINAME,1/1/2014
360000,BNDES FINAME,1/1/2014
360000,BNDES FINAME,1/1/2014
360000,BNDES FINAME,1/1/2014
392850,BNDES FINAME,1/1/2014
392850,BNDES FINAME,1/1/2014
392850,BNDES FINAME,1/1/2014
392850,BNDES FINAME,1/1/2014
392850,BNDES FINAME,1/1/2014
270000,BNDES FINAME,1/1/2014
270000,BNDES FINAME,1/1/2014
247500,BNDES FINAME,1/1/2014
556875,BNDES FINAME,1/1/2014
556875,BNDES FINAME,1/1/2014
556875,BNDES FINAME,1/1/2014
556875,BNDES FINAME,1/1/2014
556875,BNDES FINAME,1/1/2014
556875,BNDES FINAME,1/1/2014
556875,BNDES FINAME,1/1/2014
556875,BNDES FINAME,1/1/2014
556875,BNDES FINAME,1/1/2014
556875,BNDES FINAME,1/1/2014
556875,BNDES FINAME,1/1/2014
556875,BNDES FINAME,1/1/2014
556875,BNDES FINAME,1/1/2014
556875,BNDES FINAME,1/1/2014
556875,BNDES FINAME,1/1/2014
445500,BNDES FINAME,1/1/2014
1147500,BNDES FINAME,1/1/2014
1147500,BNDES FINAME,1/1/2014
1147500,BNDES FINAME,1/1/2014
1147500,BNDES FINAME,1/1/2014
1147500,BNDES FINAME,1/1/2014
1147500,BNDES FINAME,1/1/2014
1147500,BNDES FINAME,1/1/2014
253575,BNDES FINAME,1/1/2014
556875,BNDES FINAME,1/1/2014
253575,BNDES FINAME,1/1/2014
253575,BNDES FINAME,1/1/2014
253575,BNDES FINAME,1/1/2014
253575,BNDES FINAME,1/1/2014
253575,BNDES FINAME,1/1/2014
253575,BNDES FINAME,1/1/2014
253575,BNDES FINAME,1/1/2014
253575,BNDES FINAME,1/1/2014
253575,BNDES FINAME,1/1/2014
253575,BNDES FINAME,1/1/2014
253575,BNDES FINAME,1/1/2014
253575,BNDES FINAME,1/1/2014
222750,BNDES FINAME,1/1/2014
556875,BNDES FINAME,1/1/2014
253575,BNDES FINAME,1/1/2014
556875,BNDES FINAME,1/1/2014
556875,BNDES FINAME,1/1/2014
360000,BNDES FINAME,1/1/2013
1408500,BNDES FINAME,1/1/2013
440382.59,BNDES FINAME,1/1/2013
440382.59,BNDES FINAME,1/1/2013
1296042,BNDES FINAME,1/1/2013
440382.59,BNDES FINAME,1/1/2013
648000,BNDES FINAME,1/1/2013
500830.19,BNDES FINAME,1/1/2013
1237500,BNDES FINAME,1/1/2013
751245.31,BNDES FINAME,1/1/2013
751245.31,BNDES FINAME,1/1/2013
1502490.62,BNDES FINAME,1/1/2013
1237500,BNDES FINAME,1/1/2013
