verbete	handle
Gilberto Nascimento	@SERPRO 
Kevin Talley	@Dataprev 
Kevin Talley	@Dataprev 
Leonardo Silva	@Codevasf 
Direito canónico	@Caixa 
2015–16 Copa del Rey	@CorreiosBR
Lista de episódios de Steven Universe	@TelebrasBR 
Lista de episódios de Steven Universe	@TelebrasBR 
Lista de episódios de Steven Universe	@TelebrasBR 
Lei de Biot-Savart	#aneel
Lei de Biot-Savart	@SERPRO 
December 13'	@Caixa 
December 13'	@Caixa 
Jacaré	@AgoraNoPlanalto
Jacaré	@AgoraNoPlanalto
Manuscrito Voynich	@Caixa 
Manuscrito Voynich	@Caixa 
O Rappa	@Petrobras 
Grameen Bank	@Caixa 
Quais as maiores cidades de minas gerais	@Caixa 
Lista de episódios de Steven Universe	@TelebrasBR 
Portuguese people	@ImprensaDPU 
Catilinárias	@MPF_PGR 
Catilinárias	#mpm 
Catilinárias	@MPF_PGR 
Catilinárias	#mpm 
Lista de episódios de Steven Universe	@TelebrasBR 
Lista de episódios de Steven Universe	@TelebrasBR 
Lista de episódios de Steven Universe	@TelebrasBR 
Clube e Escola de Rugby Samambaia	@TelebrasBR 
Delegado de polícia	@AgenciaPF 
Serviço de Delegados dos Estados Unidos	@AgenciaPF 
Serviço de Delegados dos Estados Unidos	@AgenciaPF 
Serviço de Delegados dos Estados Unidos	@AgenciaPF 
Serviço de Delegados dos Estados Unidos	@AgenciaPF 
Denúncia vazia	@SenadoFederal 
Denúncia vazia	@SenadoFederal 
Salmaan Taseer	@TrabalhoGovBR 
Carlos Zarattini	@CamaraDeputados 
Capitão de Campos	@Dataprev 
Serviço de Delegados dos Estados Unidos	@AgenciaPF 
Delegado de polícia	@AgenciaPF 
Serviço de Delegados dos Estados Unidos	@AgenciaPF 
Serviço de Delegados dos Estados Unidos	@AgenciaPF 
Plano Collor	@Caixa 
Agathyrno da Silva Gomes	@TelebrasBR 
Agathyrno da Silva Gomes	@TelebrasBR 
