verbete	handle
Malek Assad	@SERPRO 
Jardim Gramacho	@SERPRO 
São Vicente Férrer (Pernambuco)	@ItamaratyGovBR 
Lista de gentílicos do Brasil	@ItamaratyGovBR 
Moqueca	@SenadoFederal 
Moqueca	@SenadoFederal 
Moqueca	@SenadoFederal 
Moqueca de Peixe	@SenadoFederal 
Moqueca de Peixe	@SenadoFederal 
Moqueca de Peixe	@SenadoFederal 
Evandro Gama do Nascimento	@JusticaGovBR 
Evandro Gama do Nascimento	@SERPRO 
Evandro Gama do Nascimento	@JusticaGovBR 
Evandro Gama do Nascimento	@SERPRO 
Evandro Gama do Nascimento	@JusticaGovBR 
Evandro Gama do Nascimento	@SERPRO 
Humberto Souto	@CamaraDeputados 
Rede Legislativa de Rádio e TV	@CamaraDeputados 
Instituto de Educação do Pará	@TelebrasBR 
Instituto de Educação do Pará	@TelebrasBR 
Colégio Estadual Paes de Carvalho	@TelebrasBR 
TV Câmara	@CamaraDeputados 
Rede Legislativa de Rádio e TV	@CamaraDeputados 
Zacarias Martins	@TelebrasBR 
Cachoeira de Emas	@SERPRO 
San Tiago Dantas	@ImprensaDPU 
Pirassununga	@SERPRO 
Base Aérea de Salvador	@SERPRO 
Base Aérea de Salvador	@SERPRO 
Base Aérea de Salvador	@SERPRO 
Base Aérea de Santa Cruz	@SERPRO 
Rede Legislativa de Rádio e TV	@CamaraDeputados 
Nunavut	@SERPRO 
1 de julho	@CJF_Oficial 
Archibald Low	@CJF_Oficial 
1 de julho	@CJF_Oficial 
Instituto de Educação do Pará	@CorreiosBR 
2 de julho	@CJF_Oficial 
3 de julho	@CJF_Oficial 
7 de julho	@CJF_Oficial 
Picanha	@TelebrasBR 
9 de julho	@CJF_Oficial 
Neuf-Brisach	@MPF_PGR 
Território federal	@ImprensaDPU 
Território federal	@ImprensaDPU 
Território federal	@ImprensaDPU 
Elza Soares	@SERPRO 
Pires do Rio	@MPF_PGR 
Marcionílio	@SERPRO 
Ricardo Ferraço	@SenadoFederal 
Ricardo Ferraço	@SenadoFederal 
Antônio Marcos Sousa	@JusticaGovBR 
Antônio Marcos Sousa	@SERPRO 
Antônio Marcos Sousa	@JusticaGovBR 
Antônio Marcos Sousa	@SERPRO 
Ceilândia Esporte Clube	@JusticaGovBR 
Ceilândia Esporte Clube	@SERPRO 
Cachoeira de Emas	@SERPRO 
Rafael Sóbis	@TST_Oficial 
Priyanka Chopra	@CorreiosBR 
Rede Legislativa de Rádio e TV	@CamaraDeputados 
Rede Legislativa de Rádio e TV	@CamaraDeputados 
Computer virus	@TelebrasBR 
Edição não linear	@CamaraDeputados 
Allano	@TST_Oficial 
10 de julho	@CJF_Oficial 
Undateable	@Dataprev 
44º Batalhão de Infantaria Motorizado	@Dataprev 
Força Aérea Brasileira	@SERPRO 
Lista de aeronaves atuais da Força Aérea Brasileira	@SERPRO 
Lista de aeronaves atuais da Força Aérea Brasileira	@SERPRO 
Grão Pará	@ItamaratyGovBR 
Barra Shopping	@SERPRO 
Barra Shopping	@SERPRO 
Ricardo Ferraço	@SenadoFederal 
Ricardo Ferraço	@SenadoFederal 
Arroba	@TCUOficial 
Brazila Renkontiĝo de Esperantistaj Spiritistoj	@Caixa 
Brazila Renkontiĝo de Esperantistaj Spiritistoj	@Caixa 
Brazila Renkontiĝo de Esperantistaj Spiritistoj	@Caixa 
Brazila Renkontiĝo de Esperantistaj Spiritistoj	@Caixa 
Brazila Renkontiĝo de Esperantistaj Spiritistoj	@Caixa 
2016 World Surf League	@Caixa 
Monda Spiritisma Asocio	@Caixa 
Monda Spiritisma Asocio	@Caixa 
Monda Spiritisma Asocio	@Caixa 
Mario Lemina	@Caixa 
Monda Spiritisma Asocio	@Caixa 
Cyberpunk	@STJNoticias 
Cyberpunk	@STJNoticias 
Monda Spiritisma Asocio	@Caixa 
Monda Spiritisma Asocio	@Caixa 
Oolite	@Petrobras 
Spiritismo	@Caixa 
Samseksemo kaj spiritismo	@Caixa 
Samseksemo kaj spiritismo	@Caixa 
Monda Spiritisma Asocio	@Caixa 
Monda Spiritisma Asocio	@Caixa 
Brazila Spiritisma Federacio	@Caixa 
Jesúpolis	@Caixa 
Aeroporto de Teresina	@SERPRO 
Picos	@SERPRO 
Kisanji	@ItamaratyGovBR 
Paulo Freire	@SERPRO 
Flávio Guimarães	#aneel
Flávio Guimarães	@SERPRO 
Flávio Guimarães	#aneel
Flávio Guimarães	@SERPRO 
Psikografio	@Caixa 
Spiritualismo	@Caixa 
Gleisi Hoffmann	@TelebrasBR 
Brevê	@SERPRO 
Escola Naval (Brasil)	@SERPRO 
Instituto Tecnológico de Aeronáutica	@SERPRO 
Academia da Força Aérea (Brasil)	@SERPRO 
Academia Militar das Agulhas Negras	@SERPRO 
Esperanto-Asocio de San-Paŭlo	@Caixa 
Esperanto-Asocio de San-Paŭlo	@Caixa 
Analoj de EASP	@Caixa 
Esperanto-Asocio de San-Paŭlo	@Caixa 
Monda Spiritisma Asocio	@Caixa 
Monda Spiritisma Asocio	@Caixa 
Monda Spiritisma Asocio	@Caixa 
Monda Spiritisma Asocio	@Caixa 
BMW K100	@TSEJusBR 
Monda Spiritisma Asocio	@Caixa 
BMW K100	@TSEJusBR 
Shakin' Stevens	@SERPRO 
Shakin' Stevens	@SERPRO 
Ministério da Justiça e Cidadania	@JusticaGovBR 
Ministério da Justiça e Cidadania	@SERPRO 
Ministério da Justiça e Cidadania	@JusticaGovBR 
Ministério da Justiça e Cidadania	@SERPRO 
Monda Spiritisma Asocio	@Caixa 
Monda Spiritisma Asocio	@Caixa 
Gleisi Hoffmann	@SenadoFederal 
Gleisi Hoffmann	@SenadoFederal 
Instituto Metodista Granbery	@Caixa 
Instituto Metodista Granbery	@Caixa 
Monda Spiritisma Asocio	@Caixa 
São Paulo	@CamaraDeputados 
NCIS: Los Angeles (sétima temporada)	@SERPRO 
NCIS: Los Angeles (sétima temporada)	@SERPRO 
2016 World Surf League	@Caixa 
Bazaj verkoj de Spiritismo	@Caixa 
Monda Spiritisma Asocio	@Caixa 
Monda Spiritisma Asocio	@Caixa 
Mário	@Dataprev 
Esquadrão Aeroterrestre de Salvamento	@SERPRO 
Amoroso	@MinSaude 
Henry Avery	@SERPRO 
Aeroporto Internacional de Fortaleza	@SERPRO 
Monda Spiritisma Asocio	@Caixa 
Spiritisma centro	@Caixa 
Spiritisma centro	@Caixa 
Monda Spiritisma Asocio	@Caixa 
Instituto de Educação do Pará	@CorreiosBR 
Carlo Bourlet	@Caixa 
Semente do Jogo de Angola	@SERPRO 
Protocolo de Ushuaia	@SERPRO 
Kwadwo Asamoah	@Caixa 
Jaimie Alexander	@ImprensaDPU 
Perennial candidate	@SERPRO 
Perennial candidate	@SERPRO 
Perennial candidate	@SERPRO 
Francisco Alves (cantor)	@SERPRO 
Harvard Law School	@STJNoticias 
Harvard Law School	@STJNoticias 
João Henrique Caldas	@CamaraDeputados 
João Henrique Caldas	@CamaraDeputados 
Brasília	@SERPRO 
1963 South Vietnamese coup	@MPF_PGR 
VAR-Palmares	@SERPRO 
Magic: The Gathering	@MPF_PGR 
VAR-Palmares	@SERPRO 
Monda Spiritisma Asocio	@Caixa 
Monda Spiritisma Asocio	@Caixa 
João Henrique Caldas	@CamaraDeputados 
Lista de gentílicos de São Paulo	@ItamaratyGovBR 
Lista de gentílicos de São Paulo	@ItamaratyGovBR 
Lista de gentílicos de São Paulo	@ItamaratyGovBR 
Tupã (São Paulo)	@ItamaratyGovBR 
27 de julho	@CJF_Oficial 
Instrução normativa	@SERPRO 
Chiripá (roupa)	@SERPRO 
Sorrisos e Versos	@TelebrasBR 
Sorrisos e Versos	@TelebrasBR 
Expresso Livre	@AgenciaPF 
Sandman	@Codevasf 
João Bosco	@Caixa 
Inferno	#cade
Inferno	@SERPRO 
Relevo (geografia)	@TelebrasBR 
Relevo (geografia)	@TelebrasBR 
Conselho da República	@CamaraDeputados 
Conselho da República	@CamaraDeputados 
Schadenfreude	@Dataprev 
Associazione Sportiva Roma	@Caixa 
Rodrigo Maia	@CamaraDeputados 
File:Traffic jam Rio de Janeiro 03 2008 30.JPG	@SERPRO 
File:Traffic jam Rio de Janeiro 03 2008 31.JPG	@SERPRO 
File:Traffic jam Rio de Janeiro 03 2008 28.JPG	@SERPRO 
File:Traffic jam Rio de Janeiro 03 2008 18.JPG	@SERPRO 
Bashar al-Assad	@Dataprev 
Fernando Ramos da Silva	@MEC_Comunicacao 
Marcelo Macedo	@Caixa 
Uberlândia	@Caixa 
Uberlândia	@Caixa 
Jogos dos Povos Indígenas	@CamaraDeputados 
ICD-10	@Dataprev 
ICD-10	@Dataprev 
Serviço Nacional de Saúde	@Dataprev 
Spiritisma Grupo Paŭlo de Tarso	@Caixa 
Monda Spiritisma Asocio	@Caixa 
Sanlúcar de Guadiana	@Dataprev 
Alcoutim	@Dataprev 
Marquise da Arapuã	@CorreiosBR 
Komunikoj	@Caixa 
Spiritisma Eldona Asocio F. V. Lorenz	@Caixa 
Spiritisma Eldona Asocio F. V. Lorenz	@Caixa 
Almanako Lorenz	@Caixa 
Hearthstone: Heroes of Warcraft	@TCUOficial 
Jackeline Petkovic	@SERPRO 
Brazila Renkontiĝo de Esperantistaj Spiritistoj	@Caixa 
Martin Committee	@Caixa 
Som Livre	@TelebrasBR 
Daniela Araújo	@TelebrasBR 
Daniela Araújo	@TelebrasBR 
Jardim Paulistano (Campina Grande)	@TelebrasBR 
Aeroporto Internacional de Fortaleza	@SERPRO 
Aeroporto Internacional de Fortaleza	@SERPRO 
Almir Nelson de Almeida	@TelebrasBR 
Estatuto da Igualdade Racial	@MPF_PGR 
7 de agosto	@CJF_Oficial 
Homeroom	@TelebrasBR 
Homeroom	@TelebrasBR 
Homeroom	@TelebrasBR 
Homeroom	@TelebrasBR 
Homeroom	@TelebrasBR 
Homeroom	@TelebrasBR 
Homeroom	@TelebrasBR 
Homeroom	@TelebrasBR 
Homeroom	@TelebrasBR 
Homeroom	@TelebrasBR 
Homeroom	@TelebrasBR 
Homeroom	@TelebrasBR 
Homeroom	@TelebrasBR 
Homeroom	@TelebrasBR 
Homeroom	@TelebrasBR 
Homeroom	@TelebrasBR 
Homeroom	@TelebrasBR 
Homeroom	@TelebrasBR 
2016 World Surf League	@Caixa 
2016 World Surf League	@Caixa 
Hely Lopes Meirelles	@SERPRO 
Campeonato Brasileiro de Futebol de 2011 - Série A	@SERPRO 
Campeonato Brasileiro de Futebol de 2011 - Série A	@SERPRO 
Campeonato Brasileiro de Futebol de 2012 - Série A	@SERPRO 
Ministério da Fazenda (Brasil)	@Dataprev 
Cabanagem	@SERPRO 
Enrick Brugin	@CorreiosBR 
Paulo Jr.	@SERPRO 
Mulheres no Islã	@MPF_PGR 
Ibotirama	@CorreiosBR 
2016 World Surf League	@Caixa 
2016 World Surf League	@Caixa 
2016 World Surf League	@Caixa 
2016 World Surf League	@Caixa 
Hun Sen	@MDICGov 
Hun Sen	@SERPRO 
White Rabbit	@CorreiosBR 
Hazel	@Caixa 
Rabindranath Tagore	@Caixa 
Fabrizio De André	@Caixa 
Lista de universidades públicas do Brasil	@TSEJusBR 
Lista de universidades públicas do Brasil	@TSEJusBR 
Guerra Civil Libanesa	@Dataprev 
Codenames (board game)	@SERPRO 
Codenames (board game)	@SERPRO 
Terra (eletricidade)	@SERPRO 
Portal e-Cidadania	@SenadoFederal 
Abril	@ImprensaDPU 
Abril	@ImprensaDPU 
Almanako Lorenz	@Caixa 
Nossa Senhora de Caravaggio	@CorreiosBR 
Russas	@SERPRO 
Be Cool, Scooby-Doo!	@TelebrasBR 
Be Cool, Scooby-Doo!	@TelebrasBR 
Be Cool, Scooby-Doo!	@TelebrasBR 
Be Cool, Scooby-Doo!	@TelebrasBR 
Be Cool, Scooby-Doo!	@TelebrasBR 
Be Cool, Scooby-Doo!	@TelebrasBR 
Be Cool, Scooby-Doo!	@TelebrasBR 
Be Cool, Scooby-Doo!	@TelebrasBR 
Be Cool, Scooby-Doo!	@TelebrasBR 
Be Cool, Scooby-Doo!	@TelebrasBR 
Juazeiro (Bahia)	@Codevasf 
Juazeiro (Bahia)	@Codevasf 
Juazeiro (Bahia)	@Codevasf 
Haleto de ácido	@Dataprev 
Portal e-Cidadania	@SenadoFederal 
Portal e-Cidadania	@SenadoFederal 
Portal e-Cidadania	@SenadoFederal 
Portal e-Cidadania	@SenadoFederal 
Visa	@Caixa 
Carpo	@Dataprev 
Juazeiro (Bahia)	@Codevasf 
Desflorestação	@SERPRO 
Academia de Esperanto	@SERPRO 
José Francisco Soares	@Inep_Imprensa 
Quebrando o Tabu	@ImprensaDPU 
Portal e-Cidadania	@SenadoFederal 
Portal e-Cidadania	@SenadoFederal 
Portal e-Cidadania	@SenadoFederal 
Portal e-Cidadania	@SenadoFederal 
Ângelo Machado	@dnpmoficial
Ângelo Machado	@SERPRO 
Ordem (biologia)	@SERPRO 
Ordem (biologia)	@SERPRO 
Fernando Giacobo	@CamaraDeputados 
VAR-Palmares	@SERPRO 
Conceição do Jacuípe	@SERPRO 
Aleppo Artillery School massacre	@SERPRO 
Aleppo Artillery School massacre	@SERPRO 
Aleppo Artillery School massacre	@SERPRO 
Diamond Head	@SERPRO 
Esperanto culture	@Caixa 
Esperanto culture	@Caixa 
José Antonio Medeiros	@SenadoFederal 
José Antonio Medeiros	@SenadoFederal 
Movimento dos Trabalhadores Rurais Sem Terra	@SERPRO 
Movimento dos Trabalhadores Rurais Sem Terra	@SERPRO 
Xiphophorus maculatus	@CorreiosBR 
Xiphophorus maculatus	@CorreiosBR 
3 de janeiro	@Caixa 
Hansei	@SERPRO 
Sevilla Fútbol Club	@Caixa 
Be Cool, Scooby-Doo!	@TelebrasBR 
Be Cool, Scooby-Doo!	@TelebrasBR 
Be Cool, Scooby-Doo!	@TelebrasBR 
Be Cool, Scooby-Doo!	@TelebrasBR 
Tiago Iorc	@TelebrasBR 
Carimbó	@TelebrasBR 
Carimbó	@TelebrasBR 
Cinema Paradiso	@SERPRO 
Max Weber	@CamaraDeputados 
Max Weber	@CamaraDeputados 
Max Weber	@CamaraDeputados 
Max Weber	@CamaraDeputados 
Max Weber	@CamaraDeputados 
Max Weber	@CamaraDeputados 
Max Weber	@CamaraDeputados 
Max Weber	@CamaraDeputados 
Max Weber	@CamaraDeputados 
Max Weber	@CamaraDeputados 
Max Weber	@CamaraDeputados 
Max Weber	@CamaraDeputados 
Max Weber	@CamaraDeputados 
Alice Portugal	@CamaraDeputados 
Caça às bruxas	@CorreiosBR 
O Código Da Vinci	@SERPRO 
Cloud rap	@ImprensaDPU 
Judô do Brasil	@Caixa 
Judô do Brasil	@Caixa 
Alice Portugal	@CamaraDeputados 
Fator Melquisedeque	@Petrobras 
Alice Portugal	@CamaraDeputados 
Alice Portugal	@CamaraDeputados 
Be Cool, Scooby-Doo!	@TelebrasBR 
Be Cool, Scooby-Doo!	@TelebrasBR 
23 de agosto	@CJF_Oficial 
Guto Inocente	@SenadoFederal 
Lista de estádios de futebol do Brasil	@SERPRO 
Recorde olímpico	@SERPRO 
Cutscene	@SERPRO 
Cidade Ocidental	@STJNoticias 
Ocidental Park	@STJNoticias 
Saab JAS 39 Gripen	@CamaraDeputados 
Ministérios do Brasil	@TelebrasBR 
Saab JAS 39 Gripen	@CamaraDeputados 
Saab JAS 39 Gripen	@CamaraDeputados 
Saab JAS 39 Gripen	@CamaraDeputados 
Saab JAS 39 Gripen	@CamaraDeputados 
Saab JAS 39 Gripen	@CamaraDeputados 
Saab JAS 39 Gripen	@CamaraDeputados 
Saab JAS 39 Gripen	@CamaraDeputados 
Saab JAS 39 Gripen	@CamaraDeputados 
Saab JAS 39 Gripen	@CamaraDeputados 
Saab JAS 39 Gripen	@CamaraDeputados 
Saab JAS 39 Gripen	@CamaraDeputados 
Swedish Air Force	@CamaraDeputados 
Swedish Air Force	@CamaraDeputados 
Swedish Air Force	@CamaraDeputados 
Swedish Air Force	@CamaraDeputados 
Swedish Air Force	@CamaraDeputados 
Socialist heraldry	@ItamaratyGovBR 
Fujioka (empresa)	@CNPq_Oficial 
Fujioka (empresa)	@CNPq_Oficial 
Aeroporto Regional Presidente Itamar Augusto Cautieiro Franco	@SERPRO 
Aeroporto Regional Presidente Itamar Augusto Cautieiro Franco	@SERPRO 
Associação Nacional de Rifles	@SERPRO 
Instituto de Educação do Pará	@CorreiosBR 
NOGIBINGO!6	@TelebrasBR 
Zé do Fole	@SERPRO 
VALEC	@SERPRO 
Fortaleza	@SERPRO 
Outubro	@TelebrasBR 
Be Cool, Scooby-Doo!	@TelebrasBR 
Be Cool, Scooby-Doo!	@TelebrasBR 
Be Cool, Scooby-Doo!	@TelebrasBR 
Marcha atlética	@Caixa 
Be Cool, Scooby-Doo!	@TelebrasBR 
Ubuntu	@SERPRO 
クラブハウス (テレビドラマ)	@TelebrasBR 
動物のお医者さん	@TelebrasBR 
NEWTYPE	@TelebrasBR 
NEWTYPE	@TelebrasBR 
動物のお医者さん	@TelebrasBR 
Arthur Mariano	@SERPRO 
Arthur Mariano	@SERPRO 
Asynchronous Transfer Mode	@TST_Oficial 
Spike strip	@Dataprev 
Spike strip	@Dataprev 
Gilmar	@SERPRO 
Isaquias Queiroz	@SERPRO 
Atletas Olímpicos Refugiados nos Jogos Olímpicos de Verão de 2016	@SERPRO 
Atletas Olímpicos Refugiados nos Jogos Olímpicos de Verão de 2016	@SERPRO 
Alan Rick Miranda	@CamaraDeputados 
Haile Selassie	@CamaraDeputados 
Alan Rick Miranda	@CamaraDeputados 
Haile Selassie	@CamaraDeputados 
Haile Selassie	@CamaraDeputados 
Haile Selassie	@CamaraDeputados 
Haile Selassie	@CamaraDeputados 
Haile Selassie	@CamaraDeputados 
Públicos no Campeonato Brasileiro de Futebol	@Dataprev 
Haile Selassie	@CamaraDeputados 
Haile Selassie	@CamaraDeputados 
Haile Selassie	@CamaraDeputados 
Haile Selassie	@CamaraDeputados 
Haile Selassie	@CamaraDeputados 
Haile Selassie	@CamaraDeputados 
Handebol nos Jogos Olímpicos	@Caixa 
Handebol nos Jogos Olímpicos	@Caixa 
Handebol nos Jogos Olímpicos	@Caixa 
Handebol nos Jogos Olímpicos	@Caixa 
Haile Selassie	@CamaraDeputados 
Handebol nos Jogos Olímpicos	@Caixa 
Handebol nos Jogos Olímpicos	@Caixa 
Handebol nos Jogos Olímpicos	@Caixa 
Handebol nos Jogos Olímpicos	@Caixa 
Handebol nos Jogos Olímpicos	@Caixa 
Handebol nos Jogos Olímpicos	@Caixa 
Haile Selassie	@CamaraDeputados 
Handebol nos Jogos Olímpicos	@Caixa 
Handebol nos Jogos Olímpicos	@Caixa 
Haile Selassie	@CamaraDeputados 
Handebol nos Jogos Olímpicos	@Caixa 
Haile Selassie	@CamaraDeputados 
Handebol nos Jogos Olímpicos	@Caixa 
11 de março	@Dataprev 
Haile Selassie	@CamaraDeputados 
Handebol nos Jogos Olímpicos	@Caixa 
Haile Selassie	@CamaraDeputados 
Haile Selassie	@CamaraDeputados 
Saab JAS 39 Gripen	@CamaraDeputados 
Haile Selassie	@CamaraDeputados 
Haile Selassie	@CamaraDeputados 
Haile Selassie	@CamaraDeputados 
Haile Selassie	@CamaraDeputados 
Haile Selassie	@CamaraDeputados 
Haile Selassie	@CamaraDeputados 
Haile Selassie	@CamaraDeputados 
Paulo Afonso Evangelista Vieira	@AgenciaPF 
Rede Legislativa de Rádio e TV	@CamaraDeputados 
Jersusa Burmann Viecili	@MPF_PGR 
Lipase	@Dataprev 
Cajuína	@Codevasf 
Guaraná Brasil	@SERPRO 
Antônio Carlos Ribeiro de Andrada (III)	@AdvocaciaGeral 
Lafayette Rodrigues Pereira	@AdvocaciaGeral 
Lafayette Rodrigues Pereira	@AdvocaciaGeral 
L'essence Suíça	@Caixa 
L'essence Suíça	@Caixa 
Alegria 81	@SenadoFederal 
Sandro Sotilli	@MPF_PGR 
Proxima Centauri	@SERPRO 
Alpha Centauri	@SERPRO 
Syriac language	@CamaraDeputados 
Syriac language	@CamaraDeputados 
Praia do Hermenegildo	@TelebrasBR 
Seeing Like a State	@CamaraDeputados 
Software craftsmanship	@CamaraDeputados 
Software craftsmanship	@CamaraDeputados 
Software craftsmanship	@CamaraDeputados 
Software craftsmanship	@CamaraDeputados 
Joaquim Cardoso	@SERPRO 
Atlassian	@CamaraDeputados 
Juiz de Fora	@SERPRO 
São José dos Pinhais	@SERPRO 
Rolando Boldrin	@SenadoFederal 
Magno Malta	@SenadoFederal 
Governo Michel Temer	@SERPRO 
Evandro Rogério Roman	@CamaraDeputados 
Evandro Rogério Roman	@CamaraDeputados 
Nayara Portela	@TST_Oficial 
Nayara Portela	@TST_Oficial 
Nayara Portela	@TST_Oficial 
Nayara Portela	@TST_Oficial 
Nayara Portela	@TST_Oficial 
Nayara Portela	@TST_Oficial 
Nayara Portela	@TST_Oficial 
Port of Santos	@TelebrasBR 
Sandman (revista em quadrinhos)	@Caixa 
Sandman (revista em quadrinhos)	@Caixa 
Sandman (revista em quadrinhos)	@Caixa 
Socorro (São Paulo)	@BancodoBrasil 
Socorro (São Paulo)	@BancodoBrasil 
Socorro (São Paulo)	@BancodoBrasil 
Bruxa	@SERPRO 
Sobradinho, Federal District	@BancodoBrasil 
Direito civil	@TSEJusBR 
Direito civil	@TSEJusBR 
Os 100 melhores romances policiais de todos os tempos	@SERPRO 
Cirurgia robótica	@TelebrasBR 
Merenda	@INPE_MCT 
Partido Popular Socialista	@CamaraDeputados 
Rogério Simonetti Marinho	@CamaraDeputados 
Cyberpunk	@MPF_PGR 
Serro	@CamaraDeputados 
Lyubov Sergeyevna Sokolova	@SERPRO 
Star Trek: Enterprise	@SERPRO 
Rua da União	@AdvocaciaGeral 
Rua da União	@AdvocaciaGeral 
Manuel José da Rocha Neto	@Dataprev 
USS John C. Stennis (CVN-74)	@CamaraDeputados 
Porto Alegre	@CamaraDeputados 
The Circle (curta-metragem)	@SERPRO 
Carli Lloyd	@SERPRO 
Sri Lankan English	@TelebrasBR 
Centro de Ensino Unificado de Brasília	@STF_Oficial 
Abará	@TelebrasBR 
Joaquim Passarinho	@CamaraDeputados 
Michel Ney	@Caixa 
Lafayette Rodrigues Pereira	@AdvocaciaGeral 
Uberlândia	@BancodoBrasil 
Lafayette Rodrigues Pereira	@AdvocaciaGeral 
Uberlândia	@BancodoBrasil 
Web service	@PoliciaFederal 
Velocidade da luz	@CNPq_Oficial 
Luis Felipe Salomão	@STJNoticias 
Osmar Terra	@SERPRO 
Osmar Terra	@SERPRO 
Utnapishtim	@ImprensaDPU 
Queijo de minas frescal	@Caixa 
Saab JAS 39 Gripen	@CamaraDeputados 
Kim Jong-nam	@CamaraDeputados 
Thalía	@AdvocaciaGeral 
Selena	@AdvocaciaGeral 
Análise administrativa	@SERPRO 
Anápolis	@BancodoBrasil 
C/1811 F1	@SenadoFederal 
Prova	@BancodoBrasil 
London (Ontário)	@SERPRO 
London (Ontário)	#antaq
Walita	@STJNoticias 
Walita	@STJNoticias 
Parlamento do Mercosul	@SERPRO 
Unidos de Vila Maria	@Caixa 
Média	@Dataprev 
Escola Nacional de Defesa Cibernética	@TelebrasBR 
SRAM	@Dataprev 
Q18500734	@INPE_MCT 
Q23580137	@INPE_MCT 
Polícia	@MPF_PGR 
American IV: The Man Comes Around	@SERPRO 
Hurt (Nine Inch Nails song)	@SERPRO 
Grupo Fiat	@SERPRO 
23 de fevereiro	@TelebrasBR 
Sufrágio	@PoliciaFederal 
Governo Michel Temer	@SERPRO 
Governo Michel Temer	@SERPRO 
Suvela	@CorreiosBR 
Q1650350	#abin
Q1650350	@SERPRO 
Q1746365	#abin
Q1746365	@SERPRO 
Q1491128	#abin
Q1491128	@SERPRO 
Q1746365	#abin
Q1746365	@SERPRO 
Q1746365	#abin
Q1746365	@SERPRO 
Q1746365	#abin
Q1746365	@SERPRO 
Saab JAS 39 Gripen	@CamaraDeputados 
Jakob Salvati	@SERPRO 
Lua Blanco	@SERPRO 
Lua Blanco	@SERPRO 
Lua Blanco	@SERPRO 
Ceilândia Esporte Clube	@SERPRO 
Luis Felipe Salomão	@STJNoticias 
Ilan Goldfajn	@Caixa 
Lenamaria	@MPF_PGR 
Beauty and the Beast (2017)	@Caixa 
Unaí	@TelebrasBR 
Pedra do Indaiá	@TelebrasBR 
Federação Gaúcha de Judô	@ImprensaDPU 
Lauro Morhy	@TelebrasBR 
X-23	@ItamaratyGovBR 
Federação Gaúcha de Judô	@ImprensaDPU 
Federação Gaúcha de Judô	@ImprensaDPU 
Popping	@TelebrasBR 
Décio Nery de Lima	@CamaraDeputados 
Produto (marketing)	@TelebrasBR 
José Aldo	@TelebrasBR 
Planetário do Rio de Janeiro	@AdvocaciaGeral 
Supiluliuma II	@AdvocaciaGeral 
Moissanite	#conab
Moissanite	@SERPRO 
Jeffrey Dean Morgan	@SERPRO 
2019 Rugby World Cup – Americas qualification	@SERPRO 
Gilberto Nascimento	@TST_Oficial 
Fundação Procon	@SERPRO 
Fátima Bezerra	@PoliciaFederal 
Penedo (Itatiaia)	@TelebrasBR 
Cabo Anselmo	@AdvocaciaGeral 
João Henrique Caldas	@CamaraDeputados 
Luís XII de França	@Caixa 
Porto Rico	@MPF_PGR 
Saco de plástico	@SERPRO 
Sialkot	@TelebrasBR 
Sialkot	@TelebrasBR 
Sialkot	@TelebrasBR 
Sialkot	@TelebrasBR 
Sialkot	@TelebrasBR 
Daska	@TelebrasBR 
Gujrat District	@TelebrasBR 
Gujrat District	@TelebrasBR 
List of people from Gujranwala	@TelebrasBR 
2017 World Surf League	@Caixa 
2017 World Surf League	@Caixa 
2017 World Surf League	@Caixa 
Paulo Paim	@SenadoFederal 
2017 World Surf League	@Caixa 
2017 World Surf League	@Caixa 
Paulo Paim	@SenadoFederal 
Paulo Paim	@SenadoFederal 
2017 World Surf League	@Caixa 
Abdullo Tangriev	@SERPRO 
Lion Man	@MPF_PGR 
2017 World Surf League	@Caixa 
2017 World Surf League	@Caixa 
Marcos Jorge de Lima	@TelebrasBR 
Site	@SERPRO 
Marcos Jorge de Lima	@TelebrasBR 
2017 World Surf League	@Caixa 
Visiona	@INPE_MCT 
Contrabando	@TelebrasBR 
José Levi Mello do Amaral Júnior	@JusticaGovBR 
José Levi Mello do Amaral Júnior	@SERPRO 
José Levi Mello do Amaral Júnior	@JusticaGovBR 
José Levi Mello do Amaral Júnior	@SERPRO 
Petrolina	@SERPRO 
Longino	@Caixa 
Daminhão Experiença	@SenadoFederal 
João Henrique Caldas	@CamaraDeputados 
2017 World Surf League	@Caixa 
2017 World Surf League	@Caixa 
Britney: Piece of Me	@TelebrasBR 
Academia Julian	@CorreiosBR 
Academia Colarossi	@CorreiosBR 
Lota de Macedo Soares	@SERPRO 
Douglas Sampaio	@PoliciaFederal 
2017 World Surf League	@Caixa 
2017 World Surf League	@Caixa 
Amélia Maria de Fátima de Orléans e Bragança	@SERPRO 
Campeonato Brasileiro de Futebol de 2017 - Série A	@SERPRO 
Campeonato Brasileiro de Futebol de 2017 - Série A	@SERPRO 
Passaporte brasileiro	@MCTIC 
Passaporte brasileiro	@TelebrasBR 
Passaporte brasileiro	@MCTIC 
Passaporte brasileiro	@TelebrasBR 
Administração pública	@SERPRO 
Pepe Imaz	@TelebrasBR 
Carlos Victor Mendes	@CamaraDeputados 
2017 World Surf League	@Caixa 
2017 World Surf League	@Caixa 
Pérola	@AdvocaciaGeral 
Madrepérola	@AdvocaciaGeral 
Il Castello di Atlante	@SERPRO 
Television licence	@TelebrasBR 
Carlos XII da Suécia	@Caixa 
Carlos XII da Suécia	@Caixa 
Carlos XII da Suécia	@Caixa 
Carlos, Duque da Borgonha	@Caixa 
Carlos, Duque da Borgonha	@Caixa 
Friburgo (Suíça)	@Caixa 
